starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 22 14:19:48 2022	1647933588	0	2619	2619	2618
Tue Mar 22 14:19:42 2022	1647933582	3	2620	2623	2620
Tue Mar 22 14:19:48 2022	1647933588	0	2625	2626	2625
Tue Mar 22 14:19:48 2022	1647933588	0	2628	2628	2627
Tue Mar 22 14:20:45 2022	1647933645	0	2634	2634	2633
Tue Mar 22 14:19:48 2022	1647933588	0	2637	2637	2636
Tue Mar 22 14:19:42 2022	1647933582	3	2634	2637	2634
Tue Mar 22 14:20:45 2022	1647933645	0	2638	2639	2638
Tue Mar 22 14:19:48 2022	1647933588	0	2640	2640	2640
Tue Mar 22 14:19:42 2022	1647933582	2	2640	2642	2640
Tue Mar 22 14:20:45 2022	1647933645	0	2642	2642	2640
Tue Mar 22 14:19:48 2022	1647933588	0	2642	2643	2642
Tue Mar 22 14:19:48 2022	1647933588	0	2647	2647	2647
Tue Mar 22 14:20:45 2022	1647933645	1	2647	2648	2646
Tue Mar 22 14:19:42 2022	1647933582	3	2647	2650	2646
Tue Mar 22 14:19:48 2022	1647933588	0	2655	2655	2655
Tue Mar 22 14:20:45 2022	1647933645	1	2659	2660	2659
Tue Mar 22 14:19:42 2022	1647933582	2	2660	2662	2660
Tue Mar 22 14:19:48 2022	1647933588	0	2672	2672	2671
Tue Mar 22 14:19:48 2022	1647933588	0	2680	2680	2680
Tue Mar 22 14:19:48 2022	1647933588	0	2680	2681	2680
Tue Mar 22 14:19:47 2022	1647933587	0	2681	2681	2680
Tue Mar 22 14:19:42 2022	1647933582	2	2688	2689	2687
Tue Mar 22 14:19:47 2022	1647933587	0	2689	2689	2689
Tue Mar 22 14:19:48 2022	1647933588	0	2690	2690	2689
Tue Mar 22 14:19:42 2022	1647933582	3	2687	2690	2687
Tue Mar 22 14:19:48 2022	1647933588	0	2690	2690	2690
Tue Mar 22 14:20:45 2022	1647933645	0	2691	2691	2687
Tue Mar 22 14:19:48 2022	1647933588	0	2693	2693	2692
Tue Mar 22 14:20:12 2022	1647933612	0	2694	2694	2693
Tue Mar 22 14:20:17 2022	1647933617	0	2700	2701	2700
Tue Mar 22 14:20:04 2022	1647933604	0	2702	2702	2701
Tue Mar 22 14:20:45 2022	1647933645	0	2715	2716	2715
Tue Mar 22 14:20:12 2022	1647933612	0	2725	2725	2725
Tue Mar 22 14:19:48 2022	1647933588	0	2726	2727	2726
Tue Mar 22 14:19:48 2022	1647933588	0	2727	2728	2727
Tue Mar 22 14:19:42 2022	1647933582	2	2727	2729	2726
Tue Mar 22 14:19:48 2022	1647933588	0	2731	2731	2730
Tue Mar 22 14:19:57 2022	1647933597	0	2735	2735	2734
Tue Mar 22 14:19:42 2022	1647933582	2	2737	2739	2737
Tue Mar 22 14:19:42 2022	1647933582	3	2743	2745	2742
Tue Mar 22 14:20:45 2022	1647933645	0	2745	2745	2745
Tue Mar 22 14:20:12 2022	1647933612	0	2747	2747	2746
Tue Mar 22 14:20:15 2022	1647933615	0	2748	2748	2747
Tue Mar 22 14:19:48 2022	1647933588	0	2752	2753	2752
Tue Mar 22 14:19:57 2022	1647933597	0	2754	2754	2753
Tue Mar 22 14:19:47 2022	1647933587	0	2757	2757	2756
Tue Mar 22 14:20:15 2022	1647933615	0	2760	2760	2760
Tue Mar 22 14:19:48 2022	1647933588	0	2760	2760	2760
Tue Mar 22 14:19:48 2022	1647933588	0	2762	2762	2761
Tue Mar 22 14:20:03 2022	1647933603	0	2762	2762	2761
Tue Mar 22 14:19:58 2022	1647933598	0	2763	2763	2763
Tue Mar 22 14:20:17 2022	1647933617	0	2765	2765	2764
Tue Mar 22 14:19:57 2022	1647933597	0	2767	2768	2767
Tue Mar 22 14:19:49 2022	1647933589	0	2769	2770	2769
Tue Mar 22 14:20:45 2022	1647933645	0	2770	2770	2770
Tue Mar 22 14:19:48 2022	1647933588	0	2773	2773	2772
Tue Mar 22 14:20:12 2022	1647933612	0	2774	2774	2773
Tue Mar 22 14:20:06 2022	1647933606	0	2774	2774	2774
Tue Mar 22 14:19:47 2022	1647933587	0	2776	2776	2776
Tue Mar 22 14:20:45 2022	1647933645	0	2782	2782	2781
Tue Mar 22 14:20:45 2022	1647933645	0	2785	2785	2784
Tue Mar 22 14:19:48 2022	1647933588	0	2785	2785	2784
Tue Mar 22 14:19:52 2022	1647933592	0	2792	2792	2792
Tue Mar 22 14:20:04 2022	1647933604	0	2793	2794	2793
Tue Mar 22 14:20:45 2022	1647933645	0	2794	2794	2794
Tue Mar 22 14:20:45 2022	1647933645	0	2798	2798	2797
Tue Mar 22 14:19:57 2022	1647933597	0	2798	2798	2797
Tue Mar 22 14:19:57 2022	1647933597	0	2798	2798	2798
Tue Mar 22 14:19:42 2022	1647933582	2	2798	2800	2797
Tue Mar 22 14:19:48 2022	1647933588	0	2800	2800	2800
Tue Mar 22 14:19:42 2022	1647933582	2	2799	2800	2798
Tue Mar 22 14:19:52 2022	1647933592	0	2802	2802	2801
Tue Mar 22 14:19:57 2022	1647933597	0	2804	2804	2803
Tue Mar 22 14:19:42 2022	1647933582	3	2804	2807	2803
Tue Mar 22 14:20:45 2022	1647933645	0	2807	2808	2807
Tue Mar 22 14:19:42 2022	1647933582	3	2805	2808	2804
Tue Mar 22 14:20:05 2022	1647933605	0	2810	2810	2809
Tue Mar 22 14:20:45 2022	1647933645	0	2811	2811	2811
Tue Mar 22 14:20:45 2022	1647933645	0	2814	2814	2813
Tue Mar 22 14:20:13 2022	1647933613	0	2814	2814	2814
Tue Mar 22 14:19:52 2022	1647933592	0	2815	2815	2814
Tue Mar 22 14:20:04 2022	1647933604	0	2815	2815	2814
Tue Mar 22 14:19:42 2022	1647933582	3	2813	2816	2812
Tue Mar 22 14:19:57 2022	1647933597	0	2818	2818	2817
Tue Mar 22 14:19:57 2022	1647933597	0	2819	2819	2818
Tue Mar 22 14:19:48 2022	1647933588	0	2822	2822	2822
Tue Mar 22 14:20:04 2022	1647933604	0	2825	2825	2824
Tue Mar 22 14:19:49 2022	1647933589	0	2825	2826	2825
Tue Mar 22 14:19:42 2022	1647933582	3	2824	2826	2823
Tue Mar 22 14:20:04 2022	1647933604	0	2829	2829	2829
Tue Mar 22 14:20:02 2022	1647933602	0	2829	2829	2829
Tue Mar 22 14:19:42 2022	1647933582	3	2828	2831	2828
Tue Mar 22 14:19:56 2022	1647933596	0	2832	2832	2831
Tue Mar 22 14:20:04 2022	1647933604	0	2832	2832	2831
Tue Mar 22 14:20:03 2022	1647933603	0	2832	2832	2832
Tue Mar 22 14:20:04 2022	1647933604	0	2832	2832	2832
Tue Mar 22 14:19:51 2022	1647933591	0	2833	2833	2832
Tue Mar 22 14:20:03 2022	1647933603	0	2833	2833	2832
Tue Mar 22 14:20:45 2022	1647933645	0	2833	2834	2829
Tue Mar 22 14:20:05 2022	1647933605	0	2834	2835	2834
Tue Mar 22 14:19:57 2022	1647933597	0	2836	2836	2836
Tue Mar 22 14:20:01 2022	1647933601	0	2837	2837	2836
Tue Mar 22 14:19:48 2022	1647933588	0	2837	2837	2836
Tue Mar 22 14:20:16 2022	1647933616	0	2839	2839	2838
Tue Mar 22 14:19:59 2022	1647933599	0	2839	2839	2838
Tue Mar 22 14:19:42 2022	1647933582	2	2840	2842	2840
Tue Mar 22 14:20:04 2022	1647933604	0	2843	2843	2842
Tue Mar 22 14:19:42 2022	1647933582	2	2845	2847	2845
Tue Mar 22 14:19:51 2022	1647933591	0	2848	2848	2847
Tue Mar 22 14:20:22 2022	1647933622	0	2849	2849	2849
Tue Mar 22 14:19:48 2022	1647933588	0	2849	2849	2849
Tue Mar 22 14:20:45 2022	1647933645	0	2852	2852	2852
Tue Mar 22 14:20:12 2022	1647933612	0	2853	2853	2853
Tue Mar 22 14:19:51 2022	1647933591	0	2855	2855	2854
Tue Mar 22 14:20:45 2022	1647933645	0	2858	2858	2857
Tue Mar 22 14:20:06 2022	1647933606	0	2859	2859	2858
Tue Mar 22 14:20:05 2022	1647933605	0	2859	2859	2858
Tue Mar 22 14:20:15 2022	1647933615	0	2859	2859	2859
Tue Mar 22 14:19:57 2022	1647933597	0	2861	2861	2860
Tue Mar 22 14:19:51 2022	1647933591	0	2861	2861	2861
Tue Mar 22 14:19:42 2022	1647933582	3	2859	2862	2858
Tue Mar 22 14:19:57 2022	1647933597	0	2862	2862	2861
